"","Conference","Year","Points.Per.Game","Games.Played","Minutes","Rebounds.Per.Game","Assists.Per.Game","Steals.Per.Game","Blocks.Per.Game","Turnovers.Per.Game","Field.Goal.Percent","Free.Throw.Percent","Three.Point.FieldGoal.Percent"
"1","Big 12","2001-2002",6.13115942028985,23.8478260869565,16.3905797101449,2.94565217391304,1.22898550724638,0.607971014492754,0.349275362318841,1.16159420289855,0.38704347826087,0.607514492753623,0.199144927536232
"2","Big 12","2002-2003",6.01937984496124,24.3333333333333,16.931007751938,2.88682170542636,1.2046511627907,0.610852713178295,0.327906976744186,1.14496124031008,0.398573643410853,0.567131782945736,0.187131782945736
"3","Big 12","2003-2004",5.6992700729927,23.985401459854,16.5328467153285,2.65255474452555,1.12627737226277,0.592700729927007,0.308759124087591,1.12481751824818,0.406189781021898,0.55621897810219,0.211700729927007
"4","Big 12","2004-2005",6.04812030075188,23.796992481203,16.9458646616541,2.69699248120301,1.23984962406015,0.646616541353383,0.277443609022556,1.15864661654135,0.436924812030075,0.556872180451128,0.260353383458647
"5","Big 12","2005-2006",5.62910447761194,22.6194029850746,16.5813432835821,2.60373134328358,1.22611940298507,0.615671641791045,0.294029850746269,1.15671641791045,0.404223880597015,0.606522388059701,0.220828358208955
"6","Big 12","2006-2007",5.72647058823529,24.6911764705882,16.3485294117647,2.61176470588235,1.13014705882353,0.561029411764706,0.311029411764706,1.12132352941176,0.409257352941176,0.555639705882353,0.244617647058824
"7","Big 12","2007-2008",5.71594202898551,26.1884057971014,16.1869565217391,2.64492753623188,1.05144927536232,0.583333333333333,0.313768115942029,1.03260869565217,0.423152173913043,0.583065217391304,0.239891304347826
"8","Big 12","2008-2009",5.90367647058823,26.0661764705882,16.3279411764706,2.74117647058824,1.1125,0.517647058823529,0.298529411764706,1.06323529411765,0.423125,0.614676470588235,0.202257352941176
"9","Big 12","2009-2010",6.05882352941176,26.0441176470588,16.5860294117647,2.82205882352941,1.17132352941176,0.538970588235294,0.361029411764706,1.08897058823529,0.420448529411765,0.590875,0.228558823529412
"10","Big 12","2010-2011",5.87925925925926,24.1111111111111,16.7577777777778,2.74962962962963,1.13185185185185,0.517777777777778,0.311111111111111,1.12962962962963,0.405503703703704,0.55977037037037,0.224066666666667
"11","Big 12","2011-2012",5.96821705426357,25.5968992248062,17.393023255814,2.7906976744186,1.15968992248062,0.554263565891473,0.310852713178295,1.14341085271318,0.410480620155039,0.582713178294574,0.23084496124031
"12","Big 12","2012-2013",5.48428571428571,25.1071428571429,16.2571428571429,2.63214285714286,1.05857142857143,0.555,0.302857142857143,1.045,0.392428571428571,0.572728571428571,0.219221428571429
"13","West Coast","2001-2002",5.70962962962963,23.4814814814815,16.2644444444444,2.66,1.1237037037037,0.493333333333333,0.231851851851852,1.18666666666667,0.399548148148148,0.61497037037037,0.248474074074074
"14","West Coast","2002-2003",6.11007751937985,23.077519379845,17.6426356589147,2.77054263565891,1.19147286821705,0.562015503875969,0.271317829457364,1.32868217054264,0.39668992248062,0.612341085271318,0.252372093023256
"15","West Coast","2003-2004",5.90148148148148,22.9185185185185,17.0933333333333,2.68074074074074,1.19333333333333,0.56,0.239259259259259,1.22444444444444,0.415977777777778,0.618503703703704,0.221074074074074
"16","West Coast","2004-2005",5.79852941176471,22.9117647058824,16.7007352941176,2.63014705882353,1.13235294117647,0.569117647058824,0.244852941176471,1.18970588235294,0.421029411764706,0.588970588235294,0.250448529411765
"17","West Coast","2005-2006",5.83823529411765,21.8529411764706,16.9213235294118,2.71911764705882,1.14558823529412,0.559558823529412,0.277941176470588,1.22058823529412,0.390507352941176,0.593580882352941,0.228919117647059
"18","West Coast","2006-2007",6.13409090909091,24.5227272727273,17.6090909090909,2.73636363636364,1.19545454545455,0.565151515151515,0.275,1.3030303030303,0.406583333333333,0.618515151515151,0.24419696969697
"19","West Coast","2007-2008",5.64393939393939,25.3333333333333,16.7212121212121,2.61742424242424,1.09621212121212,0.543939393939394,0.288636363636364,1.27878787878788,0.416242424242424,0.606560606060606,0.230825757575758
"20","West Coast","2008-2009",5.90859375,25.265625,17.97109375,2.78671875,1.16953125,0.56328125,0.2859375,1.228125,0.399171875,0.594359375,0.22040625
"21","West Coast","2009-2010",5.85323741007194,24.2302158273381,16.5661870503597,2.65755395683453,1.04964028776978,0.527338129496403,0.261151079136691,1.06906474820144,0.402647482014388,0.567172661870504,0.228028776978417
"22","West Coast","2010-2011",5.99253731343284,25.1716417910448,17.0865671641791,2.77835820895522,1.15522388059701,0.538805970149254,0.255223880597015,1.11567164179104,0.409820895522388,0.622723880597015,0.219141791044776
"23","West Coast","2011-2012",5.53571428571429,23.8071428571429,16.1928571428571,2.53214285714286,1.08357142857143,0.524285714285714,0.232142857142857,1.05785714285714,0.399414285714286,0.55195,0.235785714285714
"24","West Coast","2012-2013",5.7381679389313,27.1526717557252,17.0770992366412,2.7030534351145,1.10916030534351,0.551908396946565,0.230534351145038,1.06641221374046,0.417900763358779,0.60118320610687,0.244541984732824
